Date,Component excluded,Component included,Reason for exclusion/ Comments
21.09.2009,Hannover Re,Infineon Technologies,Inadequate market capitalisation
21.06.2010,Salzgitter,HeidelbergCement,Inadequate market capitalisation
24.09.2012,MAN,Continental,Inadequate free-float capitalisation after acquisition by Volkswagen
24.09.2012,Metro,Lanxess,Inadequate market capitalisation
21.09.2015,Lanxess,Vonovia,Inadequate market capitalisation
21.03.2016,K+S,ProSiebenSat.1 Media,Inadequate market capitalisation
19.03.2018,ProSiebenSat.1 Media,Covestro,Inadequate market capitalisation
24.09.2018,Commerzbank,Wirecard,Inadequate market capitalisation
23.09.2019[20],ThyssenKrupp,MTU Aero Engines,Inadequate market capitalisation
22.06.2020[21],Deutsche Lufthansa,Deutsche Wohnen,Inadequate market capitalisation
19.08.2020[22],Wirecard,Delivery Hero,new Insolvency Rule (section 5.1.1)
22.03.2021[23],Beiersdorf,Siemens Energy,Inadequate market capitalisation
16.09.2021,,Vitesco,"Vitesco was spun off from Continental, for calculating reasons added to the DAX as a temporary 31st component, and removed a day later."
17.09.2021,Vitesco,,"Vitesco was spun off from Continental, for calculating reasons added to the DAX as a temporary 31st component, and removed a day later."
20.09.2021,,Airbus,10 companies added to expand DAX to 40 components
20.09.2021,,Brenntag,10 companies added to expand DAX to 40 components
20.09.2021,,HelloFresh,10 companies added to expand DAX to 40 components
20.09.2021,,Porsche SE,10 companies added to expand DAX to 40 components
20.09.2021,,Puma,10 companies added to expand DAX to 40 components
20.09.2021,,Qiagen,10 companies added to expand DAX to 40 components
20.09.2021,,Sartorius,10 companies added to expand DAX to 40 components
20.09.2021,,Siemens Healthineers,10 companies added to expand DAX to 40 components
20.09.2021,,Symrise,10 companies added to expand DAX to 40 components
20.09.2021,,Zalando,10 companies added to expand DAX to 40 components
29.10.2021,Deutsche Wohnen,Beiersdorf,
10.12.2021,,Daimler Truck,"Daimler Truck was spun off from Mercedes-Benz, for calculating reasons added to the DAX as a temporary 41st component, and removed next trading day. It was added to the DAX again in 2022."
13.12.2021,Daimler Truck,,"Daimler Truck was spun off from Mercedes-Benz, for calculating reasons added to the DAX as a temporary 41st component, and removed next trading day. It was added to the DAX again in 2022."
21.03.2022,Beiersdorf,Daimler Truck,
21.03.2022,Siemens Energy,Hannover Re,
20.06.2022,Delivery Hero,Beiersdorf,
19.09.2022,HelloFresh,Siemens Energy,
19.12.2022,Puma,Porsche,Initial public offering of Porsche
27.02.2023,Linde,Commerzbank,Delisting of Linde on Frankfurt stock exchange[24]
20.03.2023,Fresenius Medical Care,Rheinmetall,[25]
27.12.2024,Covestro AG,Fresenius Medical Care,Inadequate free-float capitalisation[26]
